,id,stmt_date,HQ_city,legal_struct,ateco_sector,def_date,fs_year,asst_intang_fixed,asst_tang_fixed,asst_fixed_fin,asst_current,AR,cash_and_equiv,asst_tot,eqty_tot,eqty_corp_family_tot,liab_lt,liab_lt_emp,debt_bank_st,debt_bank_lt,debt_fin_st,debt_fin_lt,AP_st,AP_lt,debt_st,debt_lt,rev_operating,COGS,prof_operations,goodwill,inc_financing,exp_financing,prof_financing,inc_extraord,taxes,profit,days_rec,ebitda,roa,roe,wc_net,margin_fin,cf_operations
2034,40360893,12/31/07,89,SPA,10,12/31/99,2007,513,3539513,0,6434436,4141382,43576,9975800,5293156,,218337,445532,2858579,0,145027,424843,358831,0,3447584,424843,9849084,9358077,491007,1215023,-111770,115017,0,5950,385187,295591,161.1,599255,4.92,5.58,2986852,1753130,403839
1337,30790216,12/31/07,21,SPA,41,12/31/99,2007,10844,1872739,889138,19071982,1072916,2229,21903079,4747394,,41317,65627,13261302,0,0,0,100680,0,17009676,0,7592686,4303129,3289557,3513659,-616617,704728,0,135475,2808415,1722097,,3410360,15.02,36.27,2062306,1974673,1842900
1346,30810311,12/31/07,31,SRL,47,12/31/99,2007,125676,350186,91,4915279,2828972,90592,5391232,574298,,0,120536,3130676,313482,0,0,1153930,0,4382916,313482,7764840,7649226,115614,527197,-172584,173194,0,2014,-54956,-62786,,202422,2.14,-10.93,532363,98345,24022
2069,40440620,12/31/07,62,SRL,49,12/31/99,2007,0,1207483,264018,1121775,561865,824,2768190,492219,,523,1212425,375131,29426,0,0,287342,0,871411,29426,2860844,2902083,-41239,1817049,-46717,55560,0,166985,79029,25845,-47.06,102773,-1.49,5.25,250364,-979282,169857
2378,41270299,12/31/07,29,SPA,22,12/31/99,2007,43889,12391946,10750,8957539,6607561,12513,21419305,9216270,,0,1098032,1096588,0,0,0,3424073,0,10987399,0,38091549,32948540,5143009,11020843,-310743,355890,0,-238203,4594063,2502929,49.73,6647275,24.01,27.16,-2029860,-3230315,4007195
1429,32610180,12/31/07,18,SRU,38,12/31/99,2007,0,900045,340154,6059728,1867738,3265,7299927,1804816,,0,237593,1601041,728100,0,0,402765,0,2280088,2977430,3467813,3055341,412472,1208927,-253874,254391,0,0,158598,105516,,505872,5.65,5.85,3779640,564617,198916
2217,40780777,12/31/07,77,SPA,8,12/31/99,2007,0,1114074,15888,1130900,252494,98556,2264251,126267,,0,63406,5253,0,0,0,184747,0,260808,1648053,548258,518538,29720,227080,-3053,3152,0,2492,29159,23453,,77368,1.31,18.57,870092,-1003695,71100
1308,30340012,12/31/07,1,SRL,46,12/31/99,2007,567,259067,323,1884461,1152138,518185,2155353,1220277,,116826,15657,0,0,0,0,666334,0,798799,0,3735823,2918220,817603,929136,4138,550,0,-960,820781,507183,54.13,867869,37.93,41.56,1085662,960320,557449
1204,28330421,12/31/07,42,SPA,41,12/31/99,2007,9210,1481685,1040911,22030269,2228627,3,24596786,3094798,,40680,313470,3813128,715990,6560,14754,1975793,0,20402391,730744,7928736,7048097,880639,1839487,-221436,224184,0,-64632,594571,288239,,1003181,3.58,9.31,1627878,562992,410781
2456,41520776,12/31/07,77,SRL,49,12/31/99,2007,0,1860088,51509,2240749,1825037,100032,4212653,1481864,,0,919248,0,383333,139043,0,925237,0,1428208,383333,4018168,3841528,176640,2531101,-64007,71807,0,-1,112632,112632,-181.32,289679,4.19,7.6,812541,-429733,225671
834,20970133,12/31/07,13,SRL,23,12/31/99,2007,24642,1112859,6533,1336811,969233,206762,2507564,347316,,88877,254749,378633,,0,,410629,,757521,1052214,3507693,3242041,265652,1332574,-86149,87037,0,279025,458528,254050,,522572,10.59,73.15,579290,-796718,510970
2414,41300856,12/31/07,85,SRL,45,12/31/99,2007,64,1518675,9296,2727540,1675943,53940,4305778,1219967,,3961,187683,1558097,71394,0,0,718271,0,2406424,485503,3031722,3164487,-132765,354791,52957,86128,0,94755,14947,3714,,-92118,-3.08,0.3,321116,-308068,44361
192,4510285,12/31/07,28,SRU,28,12/31/99,2007,0,1818702,0,527476,519706,7770,2446403,416263,,0,0,154939,0,0,343336,1528784,0,1685225,343336,100525,83403,17122,24494,-38778,38830,0,0,-21656,-22120,,24494,0.7,-5.31,-1157749,-1402439,-14748
4506670,10481840154,12/31/07,15,SRL,68,8/9/10,2007,5577,1172008,0,941161,941161,0,2120411,23402,,22985,0,136048,0,0,0,163165,0,312641,1760000,401227,377095,24132,29090,-14979,14983,0,867,10020,5616,,29090,1.14,24,628520,-1154183,10574
1018,25330937,12/31/07,93,SRL,17,12/31/99,2007,3375,8040,397142,1830623,304491,1109983,2239315,1974236,,3452,44011,0,0,0,0,158075,0,217550,0,915250,745554,169696,256262,48203,5648,0,0,217899,132525,,178154,7.58,6.71,1613073,1565679,140983
1139,27110881,12/31/07,88,SRL,49,12/31/99,2007,3228,1604757,201748,8252768,7714439,471341,10163595,3085794,,0,515376,1415204,1111425,0,0,2962783,0,5366584,1111425,13156729,11872356,1284373,3020892,-50726,138438,0,-1,1233646,740240,102.83,1622266,12.64,23.99,2886184,1276061,1078133
1271,30160949,12/31/07,58,SRL,41,12/31/99,2007,5388,754,0,2275319,1764145,193909,2282485,886904,,0,0,469680,0,0,0,879609,0,1395581,0,0,185180,-185180,-175798,225189,45208,0,-1200,38809,23954,,-175798,-8.11,2.7,879738,880762,33336
1573,35170216,12/31/07,21,SRL,47,12/31/99,2007,5574,1271459,52,1519456,393595,156036,2800728,2382696,,0,62337,,,,,,,325859,806,2381156,2416732,-35576,594927,17584,83,0,26304,8312,-20619,,37976,-1.27,-0.87,1193597,1105611,52933
1728,37640240,12/31/07,24,SRL,25,12/31/99,2007,100891,289559,11531,1732688,1181077,17811,2193580,55110,,0,82191,,,,,,,1832910,208921,3438832,3361350,77482,453717,-56757,56765,0,1,20726,-29890,,167385,3.53,-54.24,-100222,-346871,60013
489,12750048,12/31/07,4,SRL,29,12/31/99,2007,123829,123231,930,1902784,951186,34847,2166971,756415,,4995,458988,151234,0,43767,0,512677,0,863808,0,4513293,4295080,218213,1696171,-28218,29462,0,-4,189991,64941,,311822,10.07,8.59,1038976,508425,158550
1277,30190946,12/31/07,94,SPA,8,12/31/99,2007,357778,4292652,5947623,5153304,4107915,224980,16014861,3585782,,375240,1182634,1219345,1736347,0,0,1920716,0,7116948,3720097,12240283,9939177,2301106,4931500,-222768,227671,0,-132140,1946198,1093003,78.62,2741600,14.37,30.48,-1963644,-7012271,1533497
1970,40200388,12/31/07,38,SPA,28,12/31/99,2007,72318,3238913,27646,44272818,26803593,5271838,47724059,24979942,,1119900,2474451,143258,0,126119,0,16217329,0,19120519,28814,51880229,49380260,2499969,13242748,-159862,88273,0,133645,2473752,1252942,166.96,3745129,5.24,5.02,25152299,21641065,2498102
1654,36550713,12/31/07,71,SRL,46,12/31/99,2007,60469,1083186,6000,5957670,2483134,317878,7111471,1058008,,0,488576,203903,557773,0,1230692,2593466,0,3097253,2424318,12438919,12423396,15523,1443052,-52851,56947,0,12325,-25003,-78605,54.01,304807,0.22,-7.43,2860417,-91647,210679
1541,35070366,12/31/07,36,SAU,27,12/31/99,2007,6756,2392651,502671,21063616,8582972,5026771,24160406,12075896,,50045,1979842,1603149,185105,0,0,6891542,0,9465325,185105,31387083,28543000,2844083,8932015,-5027,146351,0,156789,2995845,1823606,117.29,3706443,11.77,15.1,11598291,9173818,2685966
2579,42030577,12/31/07,57,SPA,11,12/31/99,2007,96093,2330080,0,963398,725720,104594,3437687,1874655,,5043,5973,243959,142851,0,0,561949,0,1536154,0,1710114,1624452,85662,566413,-57143,57176,0,5004,33523,10720,,367973,2.49,0.57,-572756,-551518,293031
1721,37610862,12/31/07,86,SRL,43,12/31/99,2007,0,24410,107557,3212343,3041969,39864,3362555,700677,,90904,129013,,0,,0,,0,2440567,0,7511980,7258477,253503,527354,-58608,79954,0,-8229,186666,95762,,275482,7.54,13.67,771776,568710,117741
400,10200186,12/31/07,18,SPA,35,12/31/99,2007,41676,3128596,114110,2338340,1190312,679489,5668043,4652033,,25823,200054,0,0,0,0,311879,0,774559,0,2686958,2253686,433272,1061427,59330,2823,0,0,492602,267675,271.64,665866,7.64,5.75,1563781,1367651,500269
1195,28080349,12/31/07,34,SRU,41,12/31/99,2007,1250000,0,0,1726276,68773,555,2976485,361150,,0,0,47727,1157298,0,0,0,427936,1000101,1615234,4027677,3479062,548615,548615,-59359,93257,0,0,489256,312937,,548615,18.43,86.65,726175,-888850,312937
2312,40990319,12/31/07,31,SAU,25,12/31/99,2007,464914,701137,14624,10253983,4966248,3558268,11714443,5609913,,83060,1130505,0,0,0,0,3311030,0,4885381,0,21225170,18271416,2953754,6489426,13347,134346,0,359686,3326787,1962783,57.9,3263849,25.21,34.99,5368602,4429238,2272878
995,24950156,12/31/07,15,SRL,43,12/31/99,2007,0,247689,0,3015897,2229768,452468,3284806,1905765,,0,434147,0,0,0,0,608966,0,944894,0,3820701,3082875,737826,1622595,62020,1382,0,6852,806698,468424,157.16,790810,22.46,24.58,2071003,1658076,521408
1315030,1960400164,12/31/08,22,SRL,33,12/31/99,2008,5686,2707343,104273,2382522,1564437,297877,5249336,2029795,,0,239073,482203,562445,0,914470,761144,0,1485473,1476915,2494969,2336912,158057,1270497,-91231,98886,0,34572,101398,41573,,236565,3.01,2.05,897049,-787507,120081
1315548,1961000658,12/31/08,65,SRL,45,12/31/99,2008,0,1869051,0,493590,382657,162,2362641,1088744,,0,7401,302747,710196,0,0,223144,0,537863,710196,472075,388765,83310,144677,-40554,44677,0,-9797,32959,18416,,101959,3.53,1.69,-44273,-780307,37065
4491867,4096740966,12/31/08,15,SPA,68,8/11/10,2008,1015794,252,0,6243129,6234988,8141,7259206,5689681,,50000,2688,1034255,0,0,0,296528,0,1410635,6023,410624,870414,-459790,-357093,224462,34126,0,27272,-208056,-181737,-190.04,-452806,-6.33,-3.19,4832494,4673635,-174753
1313372,1958780205,12/31/08,20,SRL,41,12/31/99,2008,272,9759,1392817,1490195,11650,2499,2894116,86952,,0,0,0,0,0,0,16951,0,2791673,0,22453,21574,879,6335,-219,342,0,0,660,-3048,,6335,0.03,-3.51,-1301478,-1315896,2408
1315298,1960730172,12/31/08,16,SPA,68,12/31/99,2008,333190,26882964,0,6755839,166916,99,34218358,23125841,,143421,38791,66373,2200000,0,0,22220,0,1415749,9463877,1441253,1342071,99182,473755,-581876,585141,0,3093,-479601,-498601,,398105,0.29,-2.16,5340090,-4090313,-199678
1313520,1958900035,12/31/08,3,SAU,38,12/31/99,2008,25424,3388513,12633,2374111,2327036,3243,5945054,210444,,0,401008,258696,2795028,104621,776800,697239,0,1548576,3571828,7205638,6772671,432967,4379856,-208076,208437,0,-6549,218342,7419,-53.66,864798,7.28,3.53,825535,-3216126,439250
1316247,1961610308,12/31/08,26,SRL,13,12/31/99,2008,504524,9491,5,9085013,6231104,43,9606084,127381,,0,73720,6530365,0,0,0,569297,0,9339319,0,16132119,15872868,259251,813108,-280718,219658,0,14488,-6979,-108442,188.38,455685,2.7,-85.13,-254306,-386639,87992
1315840,1961250287,12/31/08,28,SRL,46,12/31/99,2008,38807,128946,17890,1716234,631746,18814,1930058,95646,,30000,204877,397815,182599,0,0,869197,0,1385463,182599,5913889,5827466,86423,775467,-40089,41948,0,1,46335,18946,,133162,4.48,19.81,330771,-89997,65685
4497841,5599880829,12/31/08,82,SPA,36,8/6/10,2008,3816879,2684478,0,18860614,17244475,1538038,25572332,1608135,,100000,109330,45697,0,0,0,13126528,0,23657758,97109,15229074,20900600,-5671526,-1670329,10215,52739,0,-3,-5661314,-4300399,14.69,-5247292,-22.18,,-4797144,-4893222,-3876165
1314277,1959700137,12/31/08,97,SRL,68,12/31/99,2008,0,4339394,0,248880,246554,2326,4588274,2928954,,0,0,66834,0,0,0,23525,0,1599054,60266,280781,313137,-32356,40497,-6938,6938,0,0,-39294,-46562,,40497,-0.71,-1.59,-1350174,-1410440,26291
1313041,1958350165,12/31/08,16,SRU,68,12/31/99,2008,57501,119402,1500,1464448,882114,322434,1677672,958579,,0,78699,0,0,61,0,472084,0,638982,0,2588871,2319286,269585,785776,8201,868,0,2811,280597,168394,,346978,16.07,17.57,825466,780176,245787
1314534,1959860022,12/31/08,96,SRL,68,12/31/99,2008,20017,3095257,0,460041,349467,10893,3577313,87772,,0,295,0,0,0,0,170908,0,3488184,0,47311,186489,-139178,-107274,17009,106,0,-371,-122540,-122540,,-114252,-3.89,-139.61,-3028143,-3027502,-97614
4482053,2665131203,12/31/08,37,SRU,68,8/6/10,2008,147333,0,0,781489,570712,210777,3998764,-260649,,0,0,0,0,0,0,128591,0,309413,3950000,1620000,1728833,-108833,-62465,10374,185,0,50091,-48368,-187921,,-62465,-2.72,,472076,,-141553
1315870,1961270830,12/31/08,83,SRL,46,12/31/99,2008,22201,954056,0,1730527,1255720,217807,2707539,534529,,0,29237,136380,688510,29875,0,1253003,0,1451763,688510,3005966,2958822,47144,502697,-43460,44995,0,0,3684,3684,,105125,1.74,0.69,278764,-441728,61665
1315767,1961200407,12/31/08,40,SRL,28,12/31/99,2008,77226,78432,0,1960150,766609,7133,2116687,118114,,0,196715,279084,650707,0,0,599112,0,1149407,650707,4267016,4095898,171118,1049950,-120987,122884,0,0,50131,2200,165.1,224909,8.08,1.86,810743,-37544,55991
1314477,1959801208,12/31/08,37,SRL,14,12/31/99,2008,3082,515111,0,2562457,1504965,994984,3085801,1302529,,58229,163857,,,,,,,1497141,63218,4849754,4511302,338452,1110794,22999,877,0,0,361451,214213,,401875,10.97,16.45,1065316,784336,277636
1314515,1959840230,12/31/08,22,SPA,70,12/31/99,2008,0,0,5766173,28801,28768,33,5794974,5555797,,0,0,98975,0,0,103291,12859,0,114635,124542,7331,18565,-11234,-11234,-6635,6635,1354,0,-16515,-16515,,-11234,-0.19,-0.3,-85834,-210376,-16515
1313761,1959110634,12/31/08,63,SRL,1,12/31/99,2008,0,1571193,2789,91398,17806,713,1666255,1223041,,0,0,92048,135955,0,0,91093,0,274759,168455,204490,215481,-10991,43089,-19454,19469,0,468,-29977,-30733,,7259,-0.66,-2.51,-183361,-350941,-12483
1313640,1959030345,12/31/08,34,SRL,10,12/31/99,2008,9231,4349130,13820,10241124,7957125,453466,14656873,4432792,,768109,272697,3893583,1549668,0,0,3338809,0,7530572,1549668,36631796,36153472,478324,1708920,-235108,254508,0,6,243222,103415,51.82,614234,3.26,2.33,2710552,60611,239325
1314483,1959810985,12/31/08,17,SRL,23,12/31/99,2008,3320,45441,568449,1111529,1085021,1364,1730130,232330,,0,35183,500901,220368,0,0,693726,0,1233777,220368,2963554,2877772,85782,363001,-39507,39690,0,2,46277,12522,,107280,4.96,5.39,-122248,-384880,34020
1315433,1960870242,12/31/08,24,SPA,28,12/31/99,2008,159915,213551,66,4739677,1473084,2205148,5123456,1537247,,4490,555715,0,0,0,0,1898626,0,3025967,0,10679995,10454349,225646,3567284,88162,18305,-1155,8596,321249,81093,26.92,377621,4.4,5.28,1713710,1163715,233068
1316177,1961530985,12/31/08,17,SRL,41,12/31/99,2008,1435,78493,5216,5255725,585685,40,5346155,191274,,0,7316,,0,,0,,0,5147565,0,1205686,1112591,93095,160668,-372376,373420,0,3338,-275943,-282371,,118403,1.74,-147.63,108160,106130,-257063
1316404,1961740618,12/31/08,61,SRU,42,12/31/99,2008,46854,209089,8397,8782070,8531914,1696,9052295,790302,,126800,0,931425,0,0,0,5974160,0,6997251,1137942,6584454,6304534,279920,2407655,-78574,78651,0,80,201426,70735,,375457,3.09,8.95,1784819,525962,166272
1313115,1958460345,12/31/08,34,SPA,28,12/31/99,2008,41161,33782,362,1425832,251709,419133,1504813,610998,,0,22914,,,,,,,780119,78456,1732114,1660225,71889,336843,-21288,0,0,15564,66165,21553,,131444,4.78,3.53,645713,535693,81108
4573330,4574680155,12/31/08,15,SRL,10,2/9/11,2008,109317,220398,0,1511173,1134654,88427,1889784,15618,,0,32401,158945,436376,0,0,885919,0,1405389,436376,3458966,3378253,80713,272103,-85636,85807,0,0,-4923,-14882,36.42,116664,4.27,-95.29,105784,-314097,21069
4563159,3615280876,12/31/08,87,SRL,31,2/15/11,2008,12874,788185,0,1003776,205834,321,1805454,21163,,0,19704,,,,,,,731481,952326,879856,1286631,-406775,-187734,-62053,62053,0,925,-467903,-467903,,-357638,-22.53,,272295,-779896,-418766
1315642,1961090469,12/31/08,46,SRL,47,12/31/99,2008,248558,582228,0,832494,119641,140464,1786032,1975,,0,107557,97751,310322,0,0,1069556,0,1326171,310322,8301041,8212819,88222,1247509,-30476,35192,0,363,58109,6526,,297834,4.94,,-493677,-828811,216138
1316260,1961620976,12/31/08,100,SRL,46,12/31/99,2008,367,132500,136245,1893266,857777,86463,2232929,128176,,0,25835,0,0,0,0,1330403,0,2066426,0,1912539,1846041,66498,249508,-5727,5794,0,0,60771,28818,,89870,2.98,22.48,-173160,-140936,52190
1314022,1959410547,12/31/08,54,SRL,47,12/31/99,2008,1024,42311,1121766,729661,249508,293695,1895851,1083583,,10383,217239,0,0,0,0,382282,0,582272,775,7875952,7269064,606888,1370477,63577,37,0,-4090,666375,445736,-9.94,626002,32.01,41.14,147389,-81518,464850
1315378,1960820304,12/31/08,30,SRL,27,12/31/99,2008,96528,2288795,311,3321561,2061866,674858,5738568,4799843,,0,136589,,0,,0,,0,802136,0,2331889,2447121,-115232,783006,94108,13,0,17739,-3385,-68300,,367214,-2.01,-1.42,2519425,2414209,414146
4575095,4834530158,12/31/08,15,SRL,25,2/15/11,2008,49895,216830,0,1529229,1096396,7483,1807148,-20484,,0,158222,,,,,,,1510777,91730,3447438,3382131,65307,454325,-59958,63338,0,0,5349,-19380,,120861,3.61,,18452,,36174
1314071,1959460120,12/31/08,13,SRL,28,12/31/99,2008,142,169034,0,2079967,1733508,260059,2261340,74284,,0,16367,,,,,,,1959598,150,3441272,3413850,27422,116575,16799,11,0,38909,83130,52344,,46718,1.21,70.46,120369,-94892,71640
1315452,1960880308,12/31/08,30,SRU,41,12/31/99,2008,82893,5771314,404357,457747,259967,25205,6751266,3063474,,0,0,1789054,85189,0,0,1534391,0,3600895,85189,145134,119690,25444,39744,-92684,92757,0,1,-67239,-54145,,39744,0.38,-1.77,-3143148,-3195090,-39845
1315270,1960690699,12/31/08,69,SRU,28,12/31/99,2008,20923,192228,0,1328792,605083,89559,1547133,139387,,0,145306,,,,,,,1099171,163269,2112095,1989473,122622,555909,-41072,41746,0,415,81965,35447,,151614,7.93,25.43,229621,-73764,64439
1314491,1959820240,12/31/08,24,SRU,23,12/31/99,2008,12364,1448728,0,372765,79395,43644,1836271,1222505,,0,5087,561,0,0,0,138764,0,606917,0,646465,689863,-43398,118737,5291,207,0,0,-38107,-39765,36.73,-11686,-2.36,-3.25,-234152,-238587,-8053
1313751,1959100239,12/31/08,23,SPA,46,12/31/99,2008,48904,212264,0,3481606,1953729,72950,3789802,443774,,0,82246,,,,,,,1909490,1145066,3046832,3007901,38931,511472,-168537,173712,0,-5665,-135271,-135271,,167233,1.03,-30.48,1572116,182606,-6969
4479078,2332331202,12/31/08,37,SRL,56,8/6/10,2008,70898,159113,6000,1072206,1003820,13305,1527530,18802,,0,72696,,0,,0,,0,1430564,0,3356675,3463163,-106488,699638,-21112,21698,0,0,-127600,-111353,,-24030,-6.97,,-358358,-217209,-28895
4495131,4921600963,12/31/08,15,SRU,47,8/11/10,2008,1705855,246825,255,3037205,597556,39714,5030060,256242,,52762,109511,,1452191,,0,,0,3133051,1452191,3629030,3951834,-322804,520921,-124134,126557,0,0,-446938,-384809,,-102546,-6.42,,-95846,-1696693,-164551
1312856,1958220285,12/31/08,26,SRL,14,12/31/99,2008,10360,528608,0,2183722,1240734,52988,2782690,-20122,,0,79892,419352,570029,0,0,258678,59596,745681,1977239,1474604,1453390,21214,586305,-87838,89009,0,30032,-36592,-59045,,21214,0.76,,1438041,,-59045
4495653,5059820968,12/31/08,15,SRL,41,8/11/10,2008,8956,6201,0,2712502,1215993,177591,2727945,126151,,0,4129,1671971,0,0,522912,225437,0,2074753,522912,3307630,3038301,269329,316946,-137302,137307,0,0,132027,83603,,275116,9.87,66.27,637749,110994,89390
1313545,1958930180,12/31/08,18,SRU,68,12/31/99,2008,0,2705793,0,294172,51746,426,3025088,8394,,0,0,1278864,0,0,0,64498,0,1386840,1571580,304516,284046,20470,161994,-21115,21139,0,0,-645,-645,,161994,0.68,-7.68,-1092668,-2697399,140879
1314768,1960060976,12/31/08,100,SRU,68,12/31/99,2008,7129,0,227,4045366,33692,48401,4055162,1192545,,0,0,,0,,0,,0,2862617,0,177362,21318,156044,159533,-168154,186683,0,-1376,-13486,-19393,,159533,3.85,-1.63,1182749,1185189,-15904
1314127,1959510023,12/31/08,3,SRL,68,12/31/99,2008,0,84721,14340,1777570,204509,106128,1877431,333524,,0,4750,,0,,0,,0,1530000,0,332045,236267,95778,127470,159482,70075,-112417,0,142843,130989,,99388,5.1,39.27,247570,234463,134599
4489791,3700650967,12/31/08,15,SRL,25,8/11/10,2008,433803,686786,543608,4754104,3442122,58982,6418301,282881,,32978,88230,,0,,3947,,0,6010265,3947,5670674,5648049,22625,1162842,-235732,235978,0,165777,-47330,-103616,,244130,0.35,-36.63,-1256161,-1381316,117889
1313468,1958840595,12/31/08,58,SRL,43,12/31/99,2008,25880,176246,47248,1610760,860783,195237,1877343,119360,,25986,72326,751982,0,0,86777,438771,0,1572894,86777,2620416,2422932,197484,883681,-97501,97991,0,1,99984,38431,,241149,10.52,32.2,37866,-130014,82096
4462025,131190134,12/31/08,13,SPA,13,6/7/10,2008,1092,1537708,4909,6526527,1422612,13146,8094540,6336,,3294749,0,16034,125000,100000,0,265672,0,4668071,125000,-510363,2763700,-3274063,-1621240,-286657,296517,-127124,1963851,-1723993,-2083960,,-3099050,-40.45,,1858456,-1537373,-1908947
1315600,1961050406,12/31/08,99,SRL,46,12/31/99,2008,10811,1709159,0,1319939,1233360,21147,3075784,71323,,1015,47284,456680,1236009,0,0,1152558,0,1707328,1236009,11435970,11328403,107567,495682,-67784,68581,0,-2131,37652,7320,2.44,158596,3.5,10.26,-387389,-1648647,58349
1315566,1961020359,12/31/08,35,SRU,23,12/31/99,2008,64865,928910,37342,1807959,1270239,6712,2864126,134905,,79540,174092,,,,,,,2385521,37744,5219467,4999711,219756,1592584,-120649,122109,0,365,99472,6127,,342978,7.67,4.54,-577562,-896212,129349
4560727,3460220167,12/31/08,16,SRL,41,2/9/11,2008,2530,0,0,28074926,4584023,4000,28087656,-861449,,0,912,0,20676406,0,0,3017407,0,3140510,25787906,23486909,24446846,-959937,-943431,-1512,1526,0,1,-961448,-961448,,-959937,-3.42,,24934416,,-961448
1313013,1958330696,12/31/08,69,SRL,41,12/31/99,2008,21078,303927,27,2408762,1876551,145999,2773770,342587,,196159,82966,173222,0,0,0,1658966,0,2123019,9367,4136045,4162040,-25995,1235162,-17056,17385,0,-9817,-52868,-56471,,1479,-0.94,-16.48,285743,17555,-28997
1316141,1961520309,12/31/08,30,SRU,25,12/31/99,2008,150701,626049,77,2156089,1750239,35801,2943745,90172,,0,132038,,,,,,,2545275,176260,4505024,4297829,207195,1219982,-93809,94064,0,0,113386,65314,,332143,7.04,72.43,-389186,-686655,190262
1312947,1958290205,12/31/08,20,SRL,41,12/31/99,2008,107,763,12,2258720,40694,11618,2259664,40688,,0,0,,,,,,,1009527,1209449,62822,30917,31905,32392,-84558,84559,0,0,-52653,-53736,,32392,1.41,-132.07,1249193,39806,-53249
1316375,1961720222,12/31/08,22,SRL,11,12/31/99,2008,337341,2139605,18,112513,111614,899,2589477,38042,,364474,0,388934,1600000,0,0,24888,0,421746,1765000,129312,45851,83461,102919,-129193,129203,0,2,-45730,-48549,,102919,3.22,-127.62,-309233,-2438922,-29091
1314367,1959730928,12/31/08,92,SRU,73,12/31/99,2008,197,8611,0,17151410,15959226,1192184,17179217,777537,,60117,93761,3323702,0,1012902,0,2203297,0,16198475,0,24133752,23530559,603193,1662150,-180435,308106,0,5632,428390,243987,160.22,901484,3.51,31.38,952935,768729,542278
1313349,1958760033,12/31/08,103,SRL,68,12/31/99,2008,0,0,2064,1862097,1048890,79341,1864161,32682,,0,0,0,1800000,0,0,667,0,31230,1800000,574986,543877,31109,31795,-400,457,0,-1,30708,22349,,31795,1.67,68.38,1830867,30618,23035
1313333,1958730465,12/31/08,46,SRL,68,12/31/99,2008,0,277500,116,5836499,296876,61526,6122310,15069,,0,0,1281757,2812313,0,799633,177482,0,2365748,3611946,1237340,842568,394772,418792,-364424,364456,0,5429,35777,-4931,,418792,6.45,-32.72,3470751,-262547,19089
1315010,1960380184,12/31/08,18,SRU,46,12/31/99,2008,6226,1298961,0,1401908,352760,7557,2707985,450610,,0,0,151222,1028014,0,0,868054,0,1229361,1028014,511804,358585,153219,182056,-71980,71985,0,-10600,70639,45773,,176768,5.66,10.16,172547,-854577,69322
4583258,5841280968,12/31/08,15,SRL,56,2/15/11,2008,840073,215098,39464,685176,459803,187075,1938159,-216684,,0,20646,75708,161809,0,1136108,517185,0,766699,1297917,1360505,1479933,-119428,457439,2921,31961,0,-46403,-162910,-170091,,-35477,-6.16,,-81523,,-86140
1314141,1959520162,12/31/08,16,SRL,68,12/31/99,2008,0,5786704,5291,4266701,109874,4759,10076214,407597,,0,13288,,,,,,,5533248,4092465,597714,251823,345891,418028,-375405,378510,0,51846,22332,6603,,395314,3.43,1.62,-1266547,-5384398,56026
1315326,1960770160,12/31/08,16,SRL,68,12/31/99,2008,0,5900110,5755,443839,315781,128058,6351483,6012372,,0,0,,,,,,,12864,296833,302074,254531,47543,154654,417,413,0,0,47960,11583,,154654,0.75,0.19,430975,106507,118694
1314839,1960130696,12/31/08,69,SRL,15,12/31/99,2008,81649,96946,0,3270967,1196843,484831,3470835,167898,,0,87946,866247,0,0,104745,2069655,0,3090683,104745,6336615,5997165,339450,748550,-182645,184942,0,-28268,128537,40116,,373438,9.78,23.89,180284,-10697,74104
1316292,1961641204,12/31/08,37,SRU,46,12/31/99,2008,73914,376622,3439,2688447,1943902,5419,3154093,33159,,0,45630,,,,,,,2850463,167414,6296197,6174495,121702,584305,-30875,75696,0,-1939,88888,4487,,249021,3.86,13.53,-162016,-420816,131806
1315340,1960770350,12/31/08,35,SRL,73,12/31/99,2008,2975,49375,0,1532253,1421587,84922,1602819,214061,,0,118,111913,,0,,1194489,,1388640,0,3098937,3009546,89391,109470,-14476,14564,0,-1660,73255,29316,,107276,5.58,13.7,143613,161711,47201
1315040,1960420543,12/31/08,54,SRL,46,12/31/99,2008,119926,852446,117814,1726482,721906,11294,2841203,757554,,10557,45174,926299,374655,59497,0,575354,0,1638860,374655,1919819,1787017,132802,472545,-108618,109709,0,-18393,5791,-8703,361.8,198655,4.67,-1.15,87622,-332632,57150
1314170,1959540368,12/31/08,36,SRL,56,12/31/99,2008,38130,2702747,0,156874,107908,30769,2917249,36276,,0,65066,788392,1665712,0,0,236733,0,1090223,1698712,1213189,1118837,94352,441080,-147679,151967,0,1,-53326,-65388,,242148,3.23,,-933349,-2704601,82408
1315859,1961270160,12/31/08,16,SPA,68,12/31/99,2008,11312,21223712,1685159,32624466,19837704,9360,56318484,21483959,,72700,543358,13242490,282294,0,0,2242682,0,17040554,17106541,43373325,41567409,1805916,3840246,-1416544,1767339,0,0,389372,132033,273.44,2360584,3.21,0.61,15583912,-1436224,686701
1315698,1961150719,12/31/08,71,SRL,56,12/31/99,2008,103350,1736150,0,507087,555183,-99445,2346587,349780,,0,0,0,1091231,0,0,166362,0,463975,1532409,580328,573618,6710,198832,-68489,68523,0,4006,-57773,-60648,,139325,0.29,-17.34,43112,-1489720,71967
